Sample_ID	MJ006-2-barcode50-umi50296bins-ubs-7	MJ006-1-barcode46-umi100611bins-ubs-4	MJ005-barcode65-umi8101bins-ubs-23	MJ006-1-barcode33-umi150609bins-ubs-3	MJ006-1-barcode45-umi127614bins-ubs-3	MJ006-1-barcode38-umi103067bins-ubs-4	MJ006-2-barcode69-umi128054bins-ubs-4	MJ006-1-barcode40-umi115234bins-ubs-4	MJ006-2-barcode69-umi62539bins-ubs-7	MJ006-2-barcode67-umi38620bins-ubs-11	MJ006-2-barcode65-umi143013bins-ubs-3	MJ006-1-barcode29-umi118459bins-ubs-5	MJ006-2-barcode63-umi107469bins-ubs-4	MJ006-2-barcode65-umi48515bins-ubs-8	MJ006-2-barcode50-umi133669bins-ubs-5	MJ005-barcode81-umi85457bins-ubs-4	MJ006-2-barcode68-umi139471bins-ubs-3	MJ005-barcode26-umi62651bins-ubs-4	MJ005-barcode81-umi51374bins-ubs-6	MJ006-1-barcode25-umi113087bins-ubs-4	MJ005-barcode26-umi77756bins-ubs-3	MJ006-1-barcode26-umi116737bins-ubs-5	MJ006-1-barcode29-umi101767bins-ubs-4	MJ006-1-barcode48-umi169942bins-ubs-3	MJ006-1-barcode45-umi38159bins-ubs-10
Sample1	0.0132514331186078	0.0103900184597336	0.0086458848940617	0.0028560322571293	0.0028557165099305	0.0100774627224172	0.0117043371042974	0.0035925926465979	0.0031939458149993	0.0025358861732737	0.0041249139088068	0.0058745472472035	0.0048575170639196	0.0033154974474699	0.0066252487039721	0.0105377328498394	0.0107223504820126	0.008996304243477	0.0034658408180398	0.0011940481281254	0.0076324433906966	0.0049537531545592	0.0055503919227334	0.0008268323999999	0.0033073296
Sample2	0.0036314910556556	0.0025005911042279	0.0066166276239169	0.0125441435478122	0.0036612783793651	0.0094686972265799	0.0083376380117584	0.0071699254755211	0.0018482953656192	0.0102099725947085	0.0040311238518681	0.0020453683302801	0.0005868348922791	0.0060921897997541	0.0095096888945347	0.0089133916142881	0.0027045573396888	0.0067352531629941	0.0083115768473724	0.0056847501294935	0.0054277165162147	0.0025433303272749	0.0091576477807906	0.0009039433999999	0.0036157736
Sample3	0.0073939344013931	0.0075092476784531	0.0087098838458116	0.0098095639597414	0.0129074707933335	0.0041625844404828	0.0011179115731433	0.0127436308732574	0.0111723209503759	0.0088141827373941	0.0052353191730471	0.0019366628913963	0.001761524293036	0.0027362690780269	0.0044856292400214	0.0013250080980325	0.0005966543108601	0.0005418007356293	0.0090226878143514	0.0074424965144303	0.0050526612277541	0.0011362191689838	0.0050557683458274	0.0009658089999999	0.003863236
Sample4	0.0072868859806138	0.0057021201368848	0.0113955195636845	0.0020058282486961	0.0065100183653385	0.0020959908313435	0.009502784088468	0.0075814261317647	0.0120550199766131	0.0046139393585785	0.0035555481575604	0.0087564968635946	0.0023756585067943	0.0096926041584423	0.0097566024655446	0.0063686435032476	0.0059411736725264	0.0090812782998519	0.0006008813587192	0.0029349612305715	0.0095682514314569	0.008973302594388	0.0062985134302091	0.0008575415999999	0.0034301664
Sample5	0.0043765494311642	0.0030067009043265	0.0018163008136707	0.0022467925914481	0.0068320765847413	0.0099276928476404	0.0090854789455351	0.0017226813534494	0.0123973010160488	0.0126267090235419	0.0009750015263553	0.0032740443989016	0.0092518429627105	0.0085974268405447	0.0005361489462735	0.0061400352902841	0.0013335586926501	0.0051828504039114	0.0061467716257076	0.002864282794357	0.0031661425411875	0.004389444766864	0.0037845400833258	0.0014237167999999	0.0056948672
Sample6	0.0127999281656367	0.0088087344378305	0.005064559306294	0.002562961226289	0.0109355686082381	0.0108659810017759	0.0039595031058017	0.0102951060648875	0.0012107599533918	0.0075097529273427	0.009985246072812	0.0095761535764105	0.0038483062290112	0.0089815473126962	0.0078669937068611	0.00384842938208	0.0020885824741613	0.0098890143942618	0.0064005385902261	0.0044416220869841	0.0050966530317895	0.010305738142944	0.0064637745952097	0.0010670055999999	0.0042680224
Sample7	0.0010247702137066	0.0029697370078174	0.0080126562041057	0.0059832101720861	0.0119004475431769	0.0054590891488902	0.0085287069846313	0.0058322999737409	0.0076233720621755	0.0056863819784812	0.0038981881667232	0.0101580060141898	0.0082136237696705	0.0016550321218507	0.0067981488957935	0.0056611919252057	0.0019316875162943	0.0029921835803544	0.0003163976186325	0.0097574338176675	0.0013624074656662	0.0061979002292207	0.0060106079265485	0.0016510549999999	0.00660422
Sample8	0.0069326392242845	0.011556284699897	0.0099748360351728	0.0122201467300644	0.00492333289426	0.0080438020318053	0.0096308745686377	0.0056791781329172	0.0057197899133196	0.0085241192595161	0.0028708338616235	0.0012079311964378	0.0035139004259345	0.0028774845689322	0.0021829383265898	0.0084349685060492	0.0090565185666737	0.0045402888819469	0.0059217519285426	0.001698332692788	0.0094951617549159	0.0023099259156943	0.0063002587283745	0.0014706341999999	0.0058825368
Sample9	0.0011093422319938	0.0010775862336721	0.0049633591642516	0.0070903292313598	0.0107219003975588	0.013643848756098	0.0029013906108201	0.0110363875972568	0.0097330162089051	0.0030828749469085	0.001289817684518	0.0075698948154617	0.0072893468768955	0.003172869292383	0.0107782608901127	0.000470572513408	0.0071837430411212	0.0041211984094273	0.0094843914960753	0.0052534833218719	0.0106064127119597	0.0021417246665117	0.0086074928756675	0.0019689581999999	0.0078758328
Sample10	0.0077906599471996	0.0061287722925228	0.0095300394087867	0.00669903675588	0.0112880811555098	0.0079528684244898	0.0083162497496975	0.0084181397702408	0.0096231894538295	0.0017071577954376	0.0086763737378814	0.0091736883295534	0.0019238209573922	0.0024990384914981	0.0037029860447128	0.0026952490853203	0.0066654768620741	0.0033639989644962	0.0078279756032401	0.0014290236906796	0.0097822221723649	0.004644581373115	0.0008683393811946	0.0001824593999999	0.0007298376
Sample11	0.0067274098775544	0.0010851826952569	0.0050113008116144	0.0054958643833581	0.005727581573823	0.0102812951645265	0.0126528679473175	0.0009930117005935	0.0032020122091852	0.0002738134844432	0.0082763426174027	0.0095377835485804	0.0027165229382689	0.0098401669674401	0.0084939672357035	0.0029555914295257	0.0044278159168215	0.00138297580229	0.0020016352333761	0.0072212806616511	0.0020036496683178	0.0055931351175712	0.0012929526617568	0.0016296731999999	0.0065186928
Sample12	0.004679551287015	0.0041644077215822	0.0054126444778183	0.0019072369457341	0.012832929369867	0.0065328190570698	0.0126072605852437	0.0071726610407842	0.0135433602138926	0.0111770063153406	0.0028627783018003	0.0101950609646574	0.0014202466674615	0.0089757241615321	0.0020366993578729	0.0090415433969074	0.0015940094129677	0.0094696528715154	0.0101254156629747	0.0054216790249751	0.0067071835618172	0.00842022760444	0.0055823141277431	0.0018383441999999	0.0073533768
Sample13	0.0094625418859741	0.0048664331504288	0.0041881465345243	0.0048241212883931	0.0099069110066959	0.0018181718270249	0.003811515178807	0.0008917905575963	0.0016240861642347	0.0118466153024081	0.0037614514943845	0.0079165372796219	0.0064680949930548	0.0040359962847189	0.0081591632347575	0.0076497846935831	0.008290146977043	0.0067314223950423	0.0014274865129415	0.0035371972389178	0.0094567559032666	0.0023963630950331	0.004538335832329	0.0017782541999999	0.0071130168
Sample14	0.0036575232615788	0.0084024968583645	0.0101297165201322	0.0134305965974955	0.0126108470561419	0.0107577095124999	0.0114383435666109	0.0057084172950269	0.0080715159508653	0.0075899494537634	0.002495310114272	0.0039780495687241	0.0036862648775734	0.0004406151089761	0.0093391548692914	0.0052275693790643	0.0015429416782682	0.0009853487115432	0.0078121682299263	0.0053710438584306	0.0047412340358366	0.0078287432673577	0.0018376273424142	0.0013815719999999	0.005526288
Sample15	0.0071095003515842	0.0026985207576871	0.0090250858897936	0.0101700731725322	0.004566132389375	0.0124074840809849	0.0030074547192824	0.0113546673426535	0.0085356522494169	0.0019644394237678	0.0053720445371042	0.0062282187770192	0.0009883657679872	0.0088600310071481	0.0088387488807486	0.0053383300929466	0.0072340916996492	0.0089209972476683	0.0009179162401241	0.0073540234670785	0.0019827070417956	0.0086043489471674	0.0054941531149327	0.0057948368	0.0015800731999999
Sample16	0.0126852829369688	0.0095886714723107	0.0116504999510163	0.0122905109719946	0.0083341977785752	0.006567632287724	0.0124650650411581	0.0066805113012085	0.0087891970219075	0.0083397822490675	0.0078269773052475	0.0077470419126305	0.0027281662499377	0.0056943308717087	0.0069400750572953	8.576650034190779e-05	8.665262467472762e-05	8.669933697802078e-05	8.668528402230877e-05	8.667720707495875e-05	8.578524468795484e-05	8.665774636096302e-05	0.0031947774633008	0.0047016584	0.0013344745999999
Sample17	0.001499230786073	0.0055667984438624	0.0043822384113305	0.008786671690092	0.0079279249896913	0.0061008163190301	0.0064811048538038	0.0009675472847393	0.006720260883068	0.0118282342863743	0.0048121247551438	0.0005560603814992	0.000474996488735	0.0040753340065027	0.0032659149446503	9.319942233029124e-05	9.414476830257846e-05	9.421317540337176e-05	9.4180251436788e-05	9.421865159844652e-05	9.321979114814644e-05	9.418526571485324e-05	0.0056253289624994	0.0086401802	0.0024731137999999
Sample18	0.0021700634841727	0.0112276941888619	0.0130395049938305	0.0016676287048738	0.0131359787034348	0.0072315598023471	0.001380607969483	0.001675156656553	0.0059616955184305	0.0040450962479043	0.0032235465259507	0.0032468336910185	0.0089329987861397	0.0103014689069838	0.0039964128245792	9.43530752124774e-05	9.529268353138702e-05	9.53589928558395e-05	9.532859931449313e-05	9.537745159084591e-05	9.43736961622111e-05	9.53317736764801e-05	0.008938090011911	0.0002125056	0.0004437654
Sample19	0.0124802575682759	0.0020717911786798	0.000742697198978	0.0099609395583209	0.0104137329413195	0.0041249361561566	0.0005354157035219	0.0005352575486399	0.0005352480181843	6.283040096304745e-05	6.287179369756872e-05	6.27851996651338e-05	6.279531907686931e-05	6.283973138831323e-05	0.0026005519624197	6.695441752813511e-05	6.762254598881975e-05	6.767741984809781e-05	6.76480329055988e-05	6.76529215426052e-05	6.696905047650683e-05	6.764916922254581e-05	0.0023735454180379	0.0095966302	0.0029658028
Sample20	0.0032783143546194	0.0026986516542602	0.0113303758384624	0.0016321963989476	0.0064330389421435	0.0025041179986356	0.000422681762304	0.0004227937249971	0.0004226736584061	0.0001018827270315	0.0001018969550498	0.0001018422694319	0.0001018555462049	0.0001018872753795	0.0059764965341007	8.259976515178008e-05	8.34368348394985e-05	8.34766397335892e-05	8.34682821568801e-05	8.345368911499428e-05	8.261781740499361e-05	8.343866284014528e-05	0.0070042076538668	0.0058351858	0.0026512941999999
